uptime,temp_cpu,crit_temp_cpu,temp_gpu,cpu_usage,gpu_usage,ram_usage
1041163,51.66666666666666,100.0,49.0,10.3,0.4,28.4
1057773,50.888888888888886,100.0,49.0,5.0,0.05,28.6
1058815,46.888888888888886,100.0,50.0,13.8,0.29,28.9
1059868,46.44444444444444,100.0,50.0,3.6,0.26,28.8
1060923,45.55555555555556,100.0,49.0,1.8,0.01,28.9
1061984,44.66666666666666,100.0,49.0,3.3,0.02,29.1
1063042,44.66666666666666,100.0,49.0,2.1,0.1,29.1
1064102,44.77777777777778,100.0,49.0,1.8,0.0,29.1
1065158,44.888888888888886,100.0,48.0,1.8,0.0,29.1
1066207,43.888888888888886,100.0,48.0,1.7,0.09,29.1
1067256,44.22222222222222,100.0,48.0,3.1,0.09,28.9
1068310,45.0,100.0,48.0,2.0,0.19,28.8
1069367,45.11111111111112,100.0,48.0,1.6,0.09,28.9
1070422,44.888888888888886,100.0,48.0,1.9,0.0,28.8
1071475,44.333333333333336,100.0,48.0,1.8,0.0,28.9
1072530,45.0,100.0,48.0,2.9,0.0,28.8
1073582,43.77777777777778,100.0,48.0,1.8,0.1,28.8
1074634,43.888888888888886,100.0,48.0,4.1,0.0,28.7
1075692,44.22222222222222,100.0,47.0,2.0,0.0,28.9
1076754,44.77777777777778,100.0,47.0,2.6,0.0,28.8
1077808,44.22222222222222,100.0,47.0,2.3,0.09,28.8
1078857,44.0,100.0,47.0,1.8,0.09,28.8
1079911,43.66666666666666,100.0,47.0,1.9,0.09,28.7
1080961,43.55555555555556,100.0,47.0,2.1,0.09,28.7
1082006,43.77777777777778,100.0,47.0,2.7,0.0,28.8
1083059,43.44444444444444,100.0,47.0,2.0,0.0,28.9
1084108,43.333333333333336,100.0,47.0,4.0,0.0,28.7
1085156,44.0,100.0,47.0,4.6,0.29,28.8
1086216,43.55555555555556,100.0,47.0,1.7,0.0,28.8
1087267,43.44444444444444,100.0,47.0,3.0,0.0,28.8
1088320,43.44444444444444,100.0,47.0,2.0,0.2,28.9
1089374,43.22222222222222,100.0,47.0,4.0,0.0,28.8
1090426,44.333333333333336,100.0,47.0,5.2,0.0,28.7
1091489,44.11111111111112,100.0,47.0,1.8,0.0,28.7
1092544,44.11111111111112,100.0,47.0,3.0,0.0,28.6
